InstitutionID,FacultyID,Name,MonthDuration,Description,AP_Score
('2','4','Bachelor of Commerce (Accounting)','36','Accounting studies','35'),
('3','4','Bachelor of Commerce (Information Systems)','24','Information Systems studies','35'),
('10','4','Bachelor of Commerce (Politics, Philosophy and Economics)','48','Politics', 'Philosophy and Economics studies','35'),
('7','6','Bachelor of Commerce with Law','36','Law studies','35'),
('8','5','LLB Four-year stream','24','LLB studies','35'),
('6','9','Bachelor of Accounting Science','48','Accounting Science studies','45'),
('1','10','Bachelor of Economic Science','36','Economic Science studies','45'),
('9',3','Architecture','24','Architecture studies','45'),
('6','13','Urban and Regional Planning','12','Urban and Regional Planning studies','20'),
('6','9','Construction Studies','48','Construction studies','40'),
('1','6','Medicine','24','Medicine studies','50'),
('7','5','Nursing','36','Nursing studies','40'),
('3','5','Occupational Therapy','48','Occupational Therapy studies','30'),
('6','6','Pharmacy','48','Pharmacy studies','25'),
('10','13','Physiotherapy','36','Physiotherapy studies','30'),
('1','6','Digital Arts','36','Digital Arts studies','50'),
('10','2','Theatre and Performance','36','Theatre and Performance studies','25'),
('3','2','Film and Television','36','Film and Television studies','25'),
('3','2','Fine Arts and Music','12','Fine Arts and Music studies','25'),
('6','12','Foundation Phase Teaching','12','Foundation Phase Teaching studies','25'),
('10','13','Intermediate Phase Teaching','24','Intermediate Phase Teaching studies','30'),
('4','3','Social Work','18','Social studies','30'),
('4','1','BSC Actuarial Sciences','42','Actuarial Sciences studies','45'),
('7','6','BSC Computational and Applied Mathematics','18','Computational and Applied Mathematics studies','45'),
('1','5','BSC Computer Science','30','Computer Science studies','45'),
('2','1','BSC Mathematics','30','Mathematics studies','45'),
('3','2',BSC Physical Science: Physical Science,48,Physical Science studies,45),
(4,3,'BSC Chemistry with Chemical Engineering',48,Chemistry studies,40),
(5,4,BSC Material Science,30,Material Science studies,20),
(6,5,BSC Astronomy and Astrophysics,36,Astronomy and Astrophysics studies,35),
(7,6,Biodiversity,36,Biodiversity studies,50),
(8,7,Ecology and Conservation,48,Ecology and Conservation studies,25),
(8,8,Organismal Biology,48,Organismal Biology studies,30),
(9,9,Applied Bioinformatics,46,Applied Bioinformatics studies,45),
(10,10,Biochemistry and Cell Biology,36,Biochemistry studies,30)
